id,label,title,group,concept,mechanics,keyPoints,when,mistakes,belt,gi,noGi,legal_ibjjf_gi,legal_ibjjf_nogi,legal_adcc,points_ibjjf,points_adcc,tags,prerequisites,setup_from,common_setups,chain_to,difficulty,drills,injury_risk,tap_warning,success_rate,energy_cost
130,Технический подъем из закрытого гарда - Technical Stand Up from Closed Guard - Подъем из гарда,Технический подъем из закрытого гарда (Technical Stand Up from Closed Guard),escape,"Прежде чем вставать из гарда соперника, нужно разорвать его осанку — наклонить его голову к своим коленям. Это создаст безопасное окно для выхода, пока он не может атаковать.","1) Руки ставятся на бицепсы соперника → толкаем его голову вниз к своим коленям<br>2) Одна рука снимается с бицепса и ставится на ваше бедро (создаёт фрейм)<br>3) Поднимаем таз вверх, вставляем колено в сторону руки на бедре<br>4) Встаём через это колено, не скрещивая ноги, рука на бедре остаётся",• Спина прямая (не сгибаться!)<br>• Локти прижаты к корпусу<br>• Глаза на сопернике<br>• Рука на бедре создаёт фрейм<br>• Колено вставляется глубоко<br>• Не скрещивать ноги при вставании,"Вы находитесь сверху в закрытом гарде соперника. Нужно безопасно встать, не попав в свип или сабмишен.",• Наклон головы вниз (риск треугольника)<br>• Отсутствие руки на бедре (нет фрейма)<br>• Подъём через оба колена (потеря баланса)<br>• Скрещивание ног при вставании<br>• Слабый разрыв осанки соперника,white,✔,✔,✔,✔,✔,0,0,"fundamental,base,posture,frames",1,2,"1, 376","90, 91, 92, 93, 99",1,Дрилл 1: Posture up + фрейм + подъем (10 раз). Дрилл 2: Партнер сопротивляется 30%.,Низкий,Нет,90%,Low
131,Мост из маунта - Upa Escape from Mount - Выход мостом,Мост из маунта (Upa Escape from Mount),escape,"Разрушение базы соперника и изоляция его конечностей для создания пространства. Мост через плечо (не через живот!) создаёт рычаг, который переворачивает соперника.",1) Захватываем дальнюю руку соперника (обеими руками или одной)<br>2) Захватываем его дальнюю стопу (или прижимаем свою стопу к его стопе)<br>3) Поворачиваем голову в сторону моста<br>4) Мощный мост бёдрами вверх-вперёд через плечо соперника (не просто в сторону!)<br>5) Пятка подтягивается к ягодице,• Захват руки и стопы ОБЯЗАТЕЛЕН<br>• Мост через ПЛЕЧО (не через живот!)<br>• Взрывное движение бёдрами вверх-вперёд<br>• Пятка к ягодице<br>• Голова повёрнута в сторону моста,"Вы находитесь в маунте снизу, соперник давит сверху. Это первый выход, который нужно попробовать.",• Мост через живот (не через плечо!)<br>• Отсутствие захвата конечностей<br>• Слабый мост (недостаточно импульса)<br>• Не поворачивать голову в сторону моста<br>• Пятка не подтягивается к ягодице,white,✔,✔,✔,✔,✔,0,0,"fundamental,leverage,bridge,limb_isolation",15,"16, 37","150, 151","132, 3",1,"Дрилл: Мост через плечо, касаясь коленом ковра. 10 раз на сторону.",Низкий,Нет,70%,Med
132,Локтевой выход из маунта - Elbow Escape from Mount - Выход локтем (Креветка),Локтевой выход из маунта (Elbow Escape from Mount),escape,Создание фрейма локтем и использование движения «креветка» для вставки колена между ног соперника. Это восстанавливает гард или создаёт халф-гард.,1) Фрейм локтем на бедре соперника (локоть прижат к вашему бедру)<br>2) Другая рука создаёт фрейм на шее или другом бедре<br>3) Мощное движение «креветка» (hip escape) — таз уходит назад-вбок<br>4) Вставка колена между ног соперника<br>5) Восстановление гарда или халф-гарда,• Локоть прижат к своему бедру<br>• Движение тазом назад-вбок (не просто в сторону!)<br>• Колено вставляется глубоко<br>• Фрейм на шее или бедре ОБЯЗАТЕЛЕН<br>• Не лежать плоско на спине,"Вы в маунте снизу, когда мост (Upa) не сработал или соперник заблокировал мост.",• Отсутствие фрейма локтем<br>• Плоское лежание на спине<br>• Медленное движение<br>• Колено не вставляется достаточно глубоко<br>• Слабый уход бёдрами (креветка),white,✔,✔,✔,✔,✔,0,0,"fundamental,hip_escape,framing,frames",131,"15, 131",131,"3, 78, 118, 454",1,Дрилл: Фрейм локтем + креветка + вставка колена. 10 раз.,Низкий,Нет,80%,Low
133,Креветка из сайд-контроля - Shrimp from Side Control - Уход бедрами из сайд-контроля,Креветка из сайд-контроля (Shrimp from Side Control),escape,Создание дистанции за счёт ухода бедрами (hip escape) и вставка фрейма или колена. Это восстанавливает гард или создаёт халф-гард.,1) Фрейм рукой на шее соперника (предплечье под подбородком)<br>2) Фрейм другой рукой на бедре соперника<br>3) Мощный уход бёдрами (креветка) — таз выносится под углом 90 градусов<br>4) Вставка колена между ног соперника или восстановление гарда,• Рука на шее (frame) ОБЯЗАТЕЛЬНА<br>• Рука на бедре создаёт второй фрейм<br>• Вынос таза под углом 90 градусов<br>• Мощный уход бёдрами (не просто движение!)<br>• Колено вставляется глубоко,Вы находитесь в сайд-контроле снизу. Нужно восстановить гард или создать халф-гард.,• Слабый уход бёдрами<br>• Отсутствие фрейма на шее<br>• Таз не выносится достаточно далеко<br>• Плоское лежание на спине<br>• Отсутствие контроля головы соперника,white,✔,✔,✔,✔,✔,0,0,"fundamental,hip_escape,recovery,frames,angle_control",13,13,13,"1, 3, 450",1,Дрилл: Фрейм на шее + креветка + вставка колена. 10 раз.,Низкий,Нет,75%,Low
134,Защита спины - Back Defense - Защита от атак со спины,Защита спины (Back Defense),escape,Закрытие линии атаки на шею и сброс крюков через вращение к сопернику. Это превращает атаку в нейтральную позицию.,1) Две руки защищают шею (руки на захватах соперника)<br>2) Колени прижаты к груди (защита от body triangle)<br>3) Постоянное вращение корпуса к сопернику<br>4) Сброс крюков через вращение (не вставать с крюками!)<br>5) Восстановление гарда или выход в стойку,• Две руки защищают шею ВСЕГДА<br>• Колени прижаты к груди<br>• Постоянное вращение к сопернику<br>• Не вставать с крюками!<br>• Сброс крюков через вращение,Соперник взял вашу спину с крюками. Нужно защитить шею и сбросить крюки.,• Попытка встать с крюками<br>• Плоская спина (не вращаться)<br>• Руки не на захватах соперника<br>• Колени не прижаты к груди<br>• Отсутствие постоянного вращения,white,✔,✔,✔,✔,✔,0,0,"fundamental,defense,survival,frames,angle_control",116,"17, 114, 115, 116","17, 114, 115, 116","18, 452",1,Дрилл: Партнер берет спину. Вы закрываете шею и сбрасываете хуки вращением. 5 раз.,Низкий,Нет,85%,Low
135,Защита от треугольника - Triangle Defense - Выход из треугольника,Защита от треугольника (Triangle Defense),escape,Разрыв осанки (stacking) и проход ноги через плечо для снятия давления с шеи. Это превращает удушение в нейтральную позицию.,1) Мощный posture up (выпрямление спины)<br>2) Stack (складывание соперника) — давление на его голову/плечи<br>3) Проход ноги через плечо соперника<br>4) Разворот корпуса для освобождения<br>5) Восстановление позиции,• Руки сцеплены в замок<br>• Локти прижаты к рёбрам<br>• Вес давит на голову/плечи соперника<br>• Мощный posture up<br>• Проход ноги через плечо,Вы попали в треугольник из гарда. Нужно защитить шею и выйти.,• Отсутствие posture up<br>• Попытка силой разорвать ноги соперника<br>• Руки не сцеплены в замок<br>• Локти не прижаты к рёбрам<br>• Слабое давление на голову соперника,white,✔,✔,✔,✔,✔,0,0,"fundamental,defense,stack,frames,base_break,angle_control",,31,31,"30, 13",1,Дрилл: Партнер делает треугольник. Вы делаете posture up + stack + проход ноги. 5 раз.,Средний (шея),При потере сознания или сильной боли в шее.,80%,Med
136,Выход из рычага локтя - Armbar Escape - Выход из армбара,Выход из рычага локтя (Armbar Escape),escape,Вращение большого пальца руки вверх и шаг ногой через голову для снятия нагрузки с сустава. Это превращает болевой приём в нейтральную позицию.,1) Вращение большого пальца руки вверх (в сторону потолка)<br>2) Шаг ногой через голову соперника<br>3) Прижатие локтя к боку<br>4) Восстановление позиции,• Большой палец смотрит ВВЕРХ (в потолок)<br>• Шаг через голову соперника<br>• Прижатие локтя к боку<br>• Не выдёргивать руку!<br>• Вращение всем корпусом,Вы попали в рычаг локтя из гарда или маунта. Нужно защитить локоть и выйти.,• Неправильное вращение руки (большой палец вниз)<br>• Попытка выдернуть руку<br>• Отсутствие шага через голову<br>• Локоть не прижат к боку<br>• Слабое вращение корпуса,blue,✔,✔,✔,✔,✔,0,0,"fundamental,defense,joint_lock,frames,limb_isolation,angle_control","30, 37, 44","30, 37, 44","30, 37, 44","13, 1",2,Дрилл: Партнер делает армбар (без финиша). Вы вращаете большой палец и шагаете ногой. 5 раз.,Средний (локоть),При появлении боли в локтевом суставе.,70%,Low
137,Выход из скручивания пятки - Heel Hook Escape - Выход из хилхука,Выход из скручивания пятки (Heel Hook Escape),escape,Вращение тела в сторону колена для снятия ротационной нагрузки с связок колена. Это КРИТИЧЕСКИЙ выход — промедление равно травме.,1) Вращение тела в сторону колена атакующего<br>2) Защита пятки рукой (если возможно)<br>3) Сгибание ноги (если возможно)<br>4) Немедленный тап при появлении боли в связках,• Вращение ВСЕМ корпусом в сторону колена атакующего<br>• Рука защищает пятку<br>• НЕ выпрямлять ногу!<br>• НЕ вращаться в противоположную сторону!<br>• Тап ДО появления боли в связках,Вы попали в heel hook (в no-gi или submission grappling). Нужно немедленно вращаться в сторону колена атакующего.,• Попытка выпрямить ногу<br>• Вращение в противоположную сторону<br>• Отсутствие вращения корпуса<br>• Попытка выдернуть ногу силой<br>• Тап после появления боли (слишком поздно!),brown,✔,✔,✗,✔,✔,0,0,"defense,leg_locks,survival,frames,angle_control","52, 307, 308","52, 307, 308","52, 307, 308","49, 305",4,Дрилл: Отработка реакции на захват пятки. Вращение корпуса + защита пятки. БЕЗ финиша.,КРИТИЧНО (Разрыв ПКС),ДО появления боли в колене. Боль в связках = травма.,25%,High
337,Спрол - Wrestling Sprawl - Защита от тейкдауна,Спрол (Wrestling Sprawl),escape,Падение бёдрами вниз и назад для создания дистанции и предотвращения тейкдауна. Это базовая защита от борцовских проходов.,1) При приближении тейкдауна — мгновенное падение бёдрами вниз-назад<br>2) Ноги отбрасываются назад (как в планку)<br>3) Грудь давит на спину соперника<br>4) Руки контролируют голову/шею соперника<br>5) Восстановление стойки или переход в контроль сверху,• Бёдра падают ВНИЗ-НАЗАД (не просто вниз!)<br>• Ноги отбрасываются далеко назад<br>• Грудь давит на спину соперника<br>• Руки контролируют голову/шею<br>• Взрывное движение (не медленное!),Соперник ныряет в ноги для тейкдауна (single/double leg). Нужно защитить проход.,• Медленное падение (соперник уже прошёл)<br>• Бёдра не падают достаточно низко<br>• Ноги не отбрасываются назад<br>• Отсутствие контроля головы соперника<br>• Слабое давление грудью,white,✔,✔,✔,✔,✔,0,0,"fundamental,wrestling,defense,frames,angle_control","21, 150, 151","21, 150, 151, 154","21, 150, 151, 154","19, 48, 335, 339, 610",1,Дрилл: Партнер делает шаг в ноги. Вы делаете спрол + кросс-фейс. 10 раз.,Низкий,Нет,90%,Med
374,Технический подъем - Technical Stand Up - Подъем в стойку,Технический подъем (Technical Stand Up),escape,Безопасный подъем в стойку с защитой головы и контролем дистанции. Это фундаментальный навык для перехода из партера в стойку.,1) Одна рука на ковре (создаёт фрейм)<br>2) Противоположная нога впереди (создаёт базу)<br>3) Голова защищена рукой (не поднимать первой!)<br>4) Подъем через ногу (не через спину!)<br>5) Немедленный контроль дистанции,• Рука защищает голову ВСЕГДА<br>• Взгляд на сопернике<br>• Движение начинается с ноги (не с головы!)<br>• Спина прямая<br>• Немедленный контроль дистанции,"После свипа, выхода из гарда, или когда нужно безопасно встать.",• Подъём вперёд (риск сабмишена)<br>• Открытая голова (риск удара)<br>• Скрещенные ноги (потеря баланса)<br>• Подъем через спину (не через ногу!)<br>• Отсутствие контроля дистанции,white,✔,✔,✔,✔,✔,0,0,"fundamental,base,safety,frames","13, 15, 70, 72","13, 15, 70, 72","13, 15, 70, 72","21, 150",1,Дрилл: Подъем из гарда или сайд-контроля. Рука защищает голову. 10 раз.,Низкий,Нет,95%,Low
